
> global-gardeners-app@0.1.0 dev
> next dev

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.104:3000
- Environments: .env.local
✓ Ready in 7.5s
○ Compiling middleware ...

○ Compiling /feed ...
 GET /feed 200 in 186ms (next.js: 5ms, application-code: 181ms)
 GET /feed 200 in 186ms (next.js: 61ms, application-code: 125ms)
 GET /feed 200 in 186ms (next.js: 127ms, application-code: 60ms)
 GET /feed 200 in 187ms (next.js: 156ms, application-code: 30ms)
 GET /feed 200 in 188ms (next.js: 90ms, application-code: 98ms)
 GET /feed 200 in 191ms (next.js: 32ms, application-code: 159ms)
 GET / 200 in 151ms (next.js: 55ms, application-code: 95ms)
 GET / 200 in 39ms (next.js: 3ms, application-code: 36ms)
 GET / 200 in 40ms (next.js: 3ms, application-code: 37ms)
 POST /api/auth/logout 200 in 57ms (next.js: 43ms, application-code: 14ms)
 GET /login 200 in 67ms (next.js: 18ms, application-code: 49ms)
 GET / 200 in 44ms (next.js: 4ms, application-code: 40ms)
 GET /api/auth/me 200 in 85ms (next.js: 64ms, application-code: 20ms)
 GET /login 200 in 56ms (next.js: 4ms, application-code: 51ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET /api/auth/me 200 in 12ms (next.js: 5ms, application-code: 8ms)
 GET / 200 in 38ms (next.js: 3ms, application-code: 35ms)
 GET /login 200 in 30ms (next.js: 4ms, application-code: 26ms)
 POST /api/auth/login 200 in 2.4s (next.js: 23ms, application-code: 2.4s)
 GET /feed 200 in 29ms (next.js: 5ms, application-code: 24ms)
 GET /api/auth/me 200 in 964ms (next.js: 6ms, application-code: 958ms)
 GET /api/auth/me 200 in 1775ms (next.js: 3ms, application-code: 1772ms)
 GET /api/profile/me 200 in 3.2s (next.js: 70ms, application-code: 3.1s)
 GET /api/profile/onboarding-status 200 in 1493ms (next.js: 22ms, application-code: 1472ms)
 GET /api/profile/me 200 in 1573ms (next.js: 3ms, application-code: 1570ms)
 GET /api/feed 200 in 11.9s (next.js: 33ms, application-code: 11.9s)
 GET /feed 200 in 56ms (next.js: 3ms, application-code: 53ms)
 GET /api/feed 200 in 8.4s (next.js: 4ms, application-code: 8.4s)
 GET /api/auth/me 200 in 507ms (next.js: 14ms, application-code: 493ms)
 GET /api/profile/onboarding-status 200 in 767ms (next.js: 3ms, application-code: 764ms)
 GET /api/profile/me 200 in 1324ms (next.js: 11ms, application-code: 1313ms)
